year,course_code,course_name,weeks,day_of_week,module_code,start_time,end_time,lecture_type,batch_code,lecture_room,professor
1,LM338,Master of Science in Software Engineering (LM338),"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",monday,CS4168,09:00:00,10:00:00,LAB,2B,CS2044,NIKOLOV NIKOLA DR
1,LM338,Master of Science in Software Engineering (LM338),"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",monday,CS4168,10:00:00,11:00:00,LAB,2B,CS2044,NIKOLOV NIKOLA DR
1,LM338,Master of Science in Software Engineering (LM338),"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",monday,CS4457,09:00:00,10:00:00,LEC,"",CSG001,DOWNEY JACK DR
1,LM338,Master of Science in Software Engineering (LM338),"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",monday,CS4457,10:00:00,11:00:00,LEC,"",CSG001,DOWNEY JACK DR
1,LM338,Master of Science in Software Engineering (LM338),"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",monday,CS6502,09:00:00,10:00:00,LAB,2E,CS3004B,CSISPG1
1,LM338,Master of Science in Software Engineering (LM338),"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",monday,CS6502,10:00:00,11:00:00,LAB,2E,CS3004B,CSISPG1
1,LM338,Master of Science in Software Engineering (LM338),"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",tuesday,CS5702,09:00:00,10:00:00,LEC,"",KBG11,BOTTERWECK GOETZ DR BEECHAM SARAH DR
1,LM338,Master of Science in Software Engineering (LM338),"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",wednesday,CS5702,09:00:00,10:00:00,LEC,"",C1061,BEECHAM SARAH DR BOTTERWECK GOETZ DR
1,LM338,Master of Science in Software Engineering (LM338),"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",friday,CS6502,09:00:00,10:00:00,LAB,2A,CS3004B,CSISPG1
1,LM338,Master of Science in Software Engineering (LM338),"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",friday,CS6502,10:00:00,11:00:00,LAB,2A,CS3004B,CSISPG1
1,LM338,Master of Science in Software Engineering (LM338),"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",monday,CS4457,11:00:00,12:00:00,TUT,3E,SG21,DOWNEY JACK DR
1,LM338,Master of Science in Software Engineering (LM338),"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",monday,CS6502,11:00:00,12:00:00,LEC,"",S205,HEALY PATRICK DR
1,LM338,Master of Science in Software Engineering (LM338),"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",wednesday,CS6502,11:00:00,12:00:00,LAB,2C,CS3004B,CSISPG1
1,LM338,Master of Science in Software Engineering (LM338),"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",wednesday,CS6502,12:00:00,13:00:00,LAB,2C,CS3004B,CSISPG1
1,LM338,Master of Science in Software Engineering (LM338),"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",thursday,CS4168,11:00:00,12:00:00,LAB,2A,CS2044,NIKOLOV NIKOLA DR
1,LM338,Master of Science in Software Engineering (LM338),"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",thursday,CS4168,12:00:00,13:00:00,LAB,2A,CS2044,NIKOLOV NIKOLA DR
1,LM338,Master of Science in Software Engineering (LM338),"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",friday,CS5722,11:00:00,12:00:00,LEC,"",S205,COLLINS JOHN MR
1,LM338,Master of Science in Software Engineering (LM338),"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",friday,CS5722,12:00:00,13:00:00,LEC,"",S205,COLLINS JOHN MR
1,LM338,Master of Science in Software Engineering (LM338),"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",monday,CS4168,12:00:00,13:00:00,LEC,"",EM009,NIKOLOV NIKOLA DR
1,LM338,Master of Science in Software Engineering (LM338),"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",monday,CS5703,14:00:00,15:00:00,LEC,"",AD2010,CASEY VAL DR
1,LM338,Master of Science in Software Engineering (LM338),"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",monday,CS5703,15:00:00,16:00:00,LEC,"",AD2010,CASEY VAL DR
1,LM338,Master of Science in Software Engineering (LM338),"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",friday,CS4457,14:00:00,15:00:00,TUT,3D,KBG14,DOWNEY JACK DR
1,LM338,Master of Science in Software Engineering (LM338),"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",friday,CS6502,14:00:00,15:00:00,LAB,2D,CS3004B,CSISPG1
1,LM338,Master of Science in Software Engineering (LM338),"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",friday,CS6502,15:00:00,16:00:00,LAB,2D,CS3004B,CSISPG1
1,LM338,Master of Science in Software Engineering (LM338),"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",thursday,CS4168,15:00:00,16:00:00,LEC,"",SG17,NIKOLOV NIKOLA DR
1,LM338,Master of Science in Software Engineering (LM338),"[2, 3, 4, 5, 6, 7]",thursday,CS4457,15:00:00,16:00:00,TUT,3B,KB119,DOWNEY JACK DR
1,LM338,Master of Science in Software Engineering (LM338),"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",friday,CS4457,15:00:00,16:00:00,TUT,3A,SG21,DOWNEY JACK DR
1,LM338,Master of Science in Software Engineering (LM338),"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",monday,CS5705,16:00:00,17:00:00,LEC,"",FB028,O MURCHÚ NORA DR
1,LM338,Master of Science in Software Engineering (LM338),"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",monday,CS5705,17:00:00,18:00:00,LEC,"",FB028,O MURCHÚ NORA DR
1,LM338,Master of Science in Software Engineering (LM338),"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",tuesday,CS6502,16:00:00,17:00:00,LAB,2B,CS3004B,CSISPG1
1,LM338,Master of Science in Software Engineering (LM338),"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",tuesday,CS6502,17:00:00,18:00:00,LAB,2B,CS3004B,CSISPG1
1,LM338,Master of Science in Software Engineering (LM338),"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",wednesday,CS6502,16:00:00,17:00:00,LEC,"",S205,HEALY PATRICK DR
1,LM338,Master of Science in Software Engineering (LM338),"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",friday,CS4457,16:00:00,17:00:00,TUT,3C,KB119,DOWNEY JACK DR
